image_path,label_path,filename,original_split,family,defective,non_defective,objects,content_hash,stratum,split
/kaggle/working/railway_raw_3381/images/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_bright.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_bright.txt,aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_bright.jpg,train,aug_b-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_bright,1,0,1,b0d51396dcabff66575580c2fa5b4972b862e98d488acef24af36dcad0bc5d6d,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_contrast.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_contrast.txt,aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_contrast.jpg,train,aug_b-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_contrast,1,0,1,064604115a8abeb723cd6ce1c00bc86c906956e879915c8cbda5491a74d6a7dd,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_flip.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_flip.txt,aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_flip.jpg,train,extra_b-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_flip,1,0,1,dbb869ab82d078128a0dd750847e74a51cb1093ced4ca4db8f2f1378507e7cff,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_orig.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_orig.txt,aug_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_orig.jpg,train,extra_b-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_orig,1,0,1,c6156771128aadf65fa62edcf56ce9f920b8c0b7f0bf0ea7d84d2c206c568a84,defective_only,test
/kaggle/working/railway_raw_3381/images/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_bright.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_bright.txt,aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_bright.jpg,train,aug_b-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_bright,1,0,1,dad40d90805f84bbec5b7820af58799379f97f190543ac49c8dc2cba8cf9442b,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_contrast.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_contrast.txt,aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_contrast.jpg,train,aug_b-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_contrast,1,0,1,da4844d5fe11c471b9d2bcd53247a5ed8197ea622f5f823cace27f325b888f8f,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_flip.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_flip.txt,aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_flip.jpg,train,aug_aug_1_b-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_flip,1,0,1,0a155ddcc5f3a087e1a417fd2aaf0c7c12a41cfafef00aaa85b93e06566b70f8,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_orig.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_orig.txt,aug_B-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_orig.jpg,train,aug_aug_1_b-10-_jpg.rf.870f7003baec27f47e0fb0635f0ae16a_orig,1,0,1,a8e7cb5ca951d8103da29029ff3fbe611558d10c78449f58d9ca1190c3be2879,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_bright.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_bright.txt,aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_bright.jpg,train,aug_b-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_bright,1,0,1,553184a724cf36e8d5fab295fed72ca711c1eefa01bc32c00facd7b1cf694b49,defective_only,train
/kaggle/working/railway_raw_3381/images/train/aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_contrast.jpg,/kaggle/working/railway_raw_3381/labels/train/aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_contrast.txt,aug_B-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_contrast.jpg,train,aug_b-101-_jpg.rf.71e2ec4faca871c13ae39aed8c3393da_contrast,1,0,1,d611b41b405715496fb6bed1f320a41ff5bc9318fa9c6b4f80280ffc17dd2abc,defective_only,test
